iter	RMSE
0	0.9978290124
1	0.9569859652
2	0.9189592526
3	0.8886853391
4	0.862174577
5	0.8386293722
6	0.8147890929
7	0.7961126539
8	0.7788380283
9	0.763651721
10	0.7511725843
11	0.7399911468
12	0.7288061423
13	0.7196722542
14	0.7127385552
15	0.704599592
16	0.6987011839
17	0.6938046582
18	0.6872250077
19	0.6829707374
20	0.67940701
21	0.6750479072
22	0.67066737
23	0.667341942
24	0.6644897956
25	0.661399683
26	0.6585540292
27	0.6567129391
28	0.6550351352
29	0.6530104923
30	0.6507640832
31	0.6495830562
32	0.6480363107
33	0.6465159783
34	0.644707643
35	0.6431302463
36	0.641777392
37	0.6404263483
38	0.6386936536
39	0.6372311949
40	0.6360926044
41	0.6351242545
42	0.6340078486
43	0.6330480456
44	0.6323768895
45	0.6316691963
46	0.6309540364
47	0.6301935006
48	0.6295341572
49	0.6290569381
50	0.628212083
51	0.6271029103
52	0.6265438365
53	0.6258269172
54	0.6251437321
55	0.6245397731
56	0.6237911501
57	0.6229757616
58	0.6226124618
59	0.6219522667
60	0.6214933002
61	0.6206544693
62	0.6202545544
63	0.6193621705
64	0.6191003217
65	0.6183046085
66	0.6177661255
67	0.6171435685
68	0.6166062668
69	0.6160422384
70	0.6156391678
71	0.615033781
72	0.614708717
73	0.6142202843
74	0.6139148748
75	0.6132599031
76	0.6127493828
77	0.6119039382
78	0.6116472402
79	0.6105604156
80	0.6101331672
81	0.609178153
82	0.6087397455
83	0.6078848917
84	0.607322819
85	0.6067768356
86	0.6064481472
87	0.605958246
88	0.6054435599
89	0.6046417688
90	0.6040985115
91	0.6037748151
92	0.6032383963
93	0.6025944046
94	0.6020234919
95	0.6010315065
96	0.6006407308
97	0.6001286139
98	0.5992882115
99	0.5988845778
