iter	Passed	Remaining
0	0	76
1	1	73
2	2	71
3	2	69
4	3	69
5	4	68
6	5	66
7	5	66
8	6	65
9	7	64
10	8	64
11	8	64
12	9	64
13	10	64
14	11	63
15	12	63
16	12	62
17	13	62
18	14	61
19	15	61
20	16	60
21	16	59
22	17	58
23	18	58
24	19	59
25	20	58
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	28	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	34
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	70	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
